date,minute,open,high,low,close,volume,change,changePercent
2020-10-30,09:30,77.14,77.24,76.88,77.21,25117,0.0,0.0
2020-10-30,09:31,77.3,77.54,77.3,77.47,8512,0.2600000000000051,0.34
2020-10-30,09:32,77.53,77.68,77.48,77.52,7269,0.049999999999997165,0.06
2020-10-30,09:33,77.52,77.52,77.35,77.35,3679,-0.1700000000000017,-0.22
2020-10-30,09:34,77.33,77.34,76.91,76.91,6171,-0.4399999999999977,-0.57
2020-10-30,09:35,76.875,76.99,76.865,76.95,325,0.04000000000000625,0.05
2020-10-30,09:36,76.935,77.01,76.9,76.9,3504,-0.049999999999997165,-0.06
2020-10-30,09:37,76.86,76.88,76.78,76.855,2925,-0.045000000000001705,-0.06
2020-10-30,09:38,76.81,77.04,76.81,77.04,16733,0.18500000000000227,0.24
2020-10-30,09:39,76.99,76.99,76.71,76.71,7685,-0.3300000000000125,-0.43
2020-10-30,09:40,76.72,76.72,76.51,76.53,3860,-0.1799999999999926,-0.23
2020-10-30,09:41,76.53,76.535,76.33,76.33,9531,-0.20000000000000284,-0.26
2020-10-30,09:42,76.3,76.3,76.15,76.17,5709,-0.1599999999999966,-0.21
2020-10-30,09:43,76.21,76.245,75.92,75.94,9244,-0.230000000000004,-0.3
2020-10-30,09:44,75.86,75.91,75.78,75.86,7452,-0.0799999999999983,-0.11
2020-10-30,09:45,75.86,76.08,75.79,76.03,12327,0.1700000000000017,0.22
2020-10-30,09:46,76.075,76.18,76.03,76.07,18370,0.039999999999992035,0.05
2020-10-30,09:47,76.05,76.08,75.925,75.95,15346,-0.11999999999999035,-0.16
2020-10-30,09:48,75.92,75.97,75.825,75.88,4164,-0.07000000000000739,-0.09
2020-10-30,09:49,75.89,75.96,75.85,75.89,3071,0.010000000000005116,0.01
2020-10-30,09:50,75.79,75.97,75.73,75.97,5025,0.0799999999999983,0.11
2020-10-30,09:51,75.95,75.99,75.66,75.78,6987,-0.18999999999999773,-0.25
2020-10-30,09:52,75.785,75.85,75.59,75.59,5464,-0.18999999999999773,-0.25
2020-10-30,09:53,75.585,75.66,75.47,75.635,3038,0.045000000000001705,0.06
2020-10-30,09:54,75.71,75.77,75.645,75.75,2276,0.11499999999999487,0.15
2020-10-30,09:55,75.69,75.88,75.575,75.88,7195,0.12999999999999545,0.17
2020-10-30,09:56,75.875,75.95,75.86,75.91,10416,0.030000000000001137,0.04
2020-10-30,09:57,75.87,76.01,75.825,76.01,7316,0.10000000000000853,0.13
2020-10-30,09:58,76.01,76.18,76.01,76.18,5533,0.1700000000000017,0.22
2020-10-30,09:59,76.175,76.175,75.95,76.0,7606,-0.18000000000000682,-0.24
2020-10-30,10:00,75.93,76.045,75.8,75.9,13210,-0.09999999999999433,-0.13
2020-10-30,10:01,75.88,76.0,75.77,75.96,4449,0.05999999999998806,0.08
2020-10-30,10:02,75.95,76.1,75.79,76.095,3655,0.13500000000000512,0.18
2020-10-30,10:03,76.11,76.11,75.96,75.99,3432,-0.10500000000000398,-0.14
2020-10-30,10:04,75.995,76.2,75.98,76.13,4360,0.14000000000000054,0.18
2020-10-30,10:05,76.16,76.26,76.065,76.23,8954,0.10000000000000853,0.13
2020-10-30,10:06,76.205,76.31,76.195,76.29,5949,0.060000000000002274,0.08
2020-10-30,10:07,76.28,76.295,76.205,76.22,17307,-0.07000000000000739,-0.09
2020-10-30,10:08,76.195,76.24,76.095,76.2,6604,-0.019999999999996017,-0.03
2020-10-30,10:09,76.19,76.23,75.82,75.865,10752,-0.335000000000008,-0.44
2020-10-30,10:10,75.865,76.03,75.84,75.91,2857,0.045000000000001705,0.06
2020-10-30,10:11,75.96,75.995,75.92,75.92,1500,0.010000000000005116,0.01
2020-10-30,10:12,75.91,75.935,75.865,75.925,2189,0.004999999999995453,0.01
2020-10-30,10:13,75.95,75.99,75.8,75.8,4025,-0.125,-0.16
2020-10-30,10:14,75.785,75.815,75.71,75.71,7540,-0.09000000000000341,-0.12
2020-10-30,10:15,75.695,75.7,75.57,75.57,3478,-0.14000000000000054,-0.18
2020-10-30,10:16,75.57,75.63,75.415,75.48,3640,-0.0899999999999892,-0.12
2020-10-30,10:17,75.425,75.46,75.32,75.46,2299,-0.020000000000010232,-0.03
2020-10-30,10:18,75.44,75.56,75.345,75.49,3083,0.030000000000001137,0.04
2020-10-30,10:19,75.465,75.53,75.45,75.49,3476,0.0,0.0
2020-10-30,10:20,75.48,75.48,75.39,75.42,2729,-0.06999999999999318,-0.09
2020-10-30,10:21,75.41,75.49,75.4,75.46,4429,0.039999999999992035,0.05
2020-10-30,10:22,75.48,75.49,75.395,75.43,4384,-0.029999999999986926,-0.04
2020-10-30,10:23,75.455,75.57,75.41,75.525,5684,0.09499999999999886,0.13
2020-10-30,10:24,75.53,75.54,75.36,75.37,3752,-0.15500000000000114,-0.21
2020-10-30,10:25,75.37,75.47,75.36,75.41,3132,0.039999999999992035,0.05
2020-10-30,10:26,75.4,75.435,75.245,75.245,4837,-0.16499999999999204,-0.22
2020-10-30,10:27,75.37,75.43,75.32,75.425,5139,0.1799999999999926,0.24
2020-10-30,10:28,75.445,75.5,75.425,75.43,2879,0.005000000000009663,0.01
2020-10-30,10:29,75.385,75.42,75.35,75.42,3475,-0.010000000000005116,-0.01
2020-10-30,10:30,75.4,75.465,75.31,75.37,3721,-0.049999999999997165,-0.07
2020-10-30,10:31,75.375,75.45,75.35,75.41,2522,0.039999999999992035,0.05
2020-10-30,10:32,75.39,75.4,75.31,75.35,2880,-0.060000000000002274,-0.08
2020-10-30,10:33,75.34,75.38,75.255,75.285,3914,-0.06499999999999773,-0.09
2020-10-30,10:34,75.29,75.29,75.1,75.1,3263,-0.18500000000000227,-0.25
2020-10-30,10:35,75.115,75.115,74.95,75.08,2733,-0.019999999999996017,-0.03
2020-10-30,10:36,75.05,75.05,74.94,74.97,1269,-0.10999999999999943,-0.15
2020-10-30,10:37,74.96,75.26,74.94,75.26,3976,0.29000000000000625,0.39
2020-10-30,10:38,75.245,75.26,75.15,75.25,3519,-0.010000000000005116,-0.01
2020-10-30,10:39,75.24,75.24,75.03,75.085,1370,-0.16500000000000625,-0.22
2020-10-30,10:40,75.065,75.07,75.0,75.015,1870,-0.06999999999999318,-0.09
2020-10-30,10:41,75.03,75.105,74.995,75.105,2716,0.09000000000000341,0.12
2020-10-30,10:42,75.08,75.09,75.025,75.07,2624,-0.0350000000000108,-0.05
2020-10-30,10:43,75.12,75.195,75.02,75.1,12113,0.030000000000001137,0.04
2020-10-30,10:44,75.16,75.17,75.04,75.04,5860,-0.05999999999998806,-0.08
2020-10-30,10:45,75.07,75.1,74.98,75.1,4113,0.05999999999998806,0.08
2020-10-30,10:46,75.15,75.22,75.09,75.095,2923,-0.004999999999995453,-0.01
2020-10-30,10:47,75.1,75.1,74.89,74.9,4083,-0.1949999999999932,-0.26
2020-10-30,10:48,74.86,74.93,74.86,74.86,5267,-0.04000000000000625,-0.05
2020-10-30,10:49,74.92,74.98,74.865,74.925,8181,0.06499999999999773,0.09
2020-10-30,10:50,74.93,75.01,74.92,74.98,8092,0.05500000000000682,0.07
2020-10-30,10:51,75.0,75.18,74.93,75.18,6232,0.20000000000000284,0.27
