date,minute,open,high,low,close,volume,change,changePercent
09-09-20,10:11:00,78.44,78.44,78.44,78.44,29653,0.0,0.0
09-09-20,10:11:15,78.44,78.485,78.44,78.485,18658,0.045000000000001705,0.057
09-09-20,10:11:30,78.485,78.485,78.47,78.48,19210,0.04000000000000625,0.051
09-09-20,10:11:45,78.48,78.48,78.35,78.35,54022,-0.12000000000000455,-0.153
09-09-20,10:12:00,78.35,78.35,78.35,78.35,38764,0.0,0.0
09-09-20,10:12:15,78.35,78.35,78.27,78.27,46391,-0.0799999999999983,-0.102
09-09-20,10:12:30,78.27,78.295,78.27,78.275,62392,0.005000000000009663,0.006
09-09-20,10:12:45,78.165,78.19,78.165,78.19,113492,-0.0799999999999983,-0.102
09-09-20,10:13:00,78.19,78.19,78.19,78.19,59376,0.024999999999991473,0.032
09-09-20,10:13:15,78.19,78.19,78.19,78.19,70227,0.0,0.0
09-09-20,10:13:30,78.19,78.24,78.19,78.24,50351,0.04999999999999716,0.064
09-09-20,10:13:45,78.305,78.34,78.305,78.34,43623,0.15000000000000568,0.192
09-09-20,10:14:00,78.34,78.34,78.31,78.31,20353,0.0049999999999954525,0.006
09-09-20,10:14:15,78.31,78.355,78.31,78.355,24366,0.045000000000001705,0.057
09-09-20,10:14:30,78.355,78.355,78.355,78.355,28473,0.045000000000001705,0.057
09-09-20,10:14:45,78.355,78.355,78.295,78.295,17243,-0.060000000000002274,-0.077
09-09-20,10:15:00,78.295,78.295,78.295,78.295,14174,0.0,0.0
09-09-20,10:15:15,78.295,78.405,78.295,78.405,26344,0.10999999999999943,0.14
09-09-20,10:15:30,78.405,78.43,78.37,78.37,20669,0.07500000000000284,0.096
09-09-20,10:15:45,78.37,78.37,78.325,78.345,30007,-0.025000000000005684,-0.032
09-09-20,10:16:00,78.345,78.405,78.345,78.345,17643,0.01999999999999602,0.026
09-09-20,10:16:15,78.345,78.345,78.345,78.345,7002,0.0,0.0
09-09-20,10:16:30,78.345,78.345,78.345,78.345,8487,0.0,0.0
09-09-20,10:16:45,78.345,78.44,78.345,78.44,13698,0.09499999999999886,0.121
09-09-20,10:17:00,78.44,78.44,78.44,78.44,28468,0.09499999999999886,0.121
09-09-20,10:17:15,78.44,78.49,78.44,78.475,48246,0.03499999999999659,0.045
09-09-20,10:17:30,78.475,78.475,78.47,78.47,22948,0.030000000000001137,0.038
09-09-20,10:17:45,78.47,78.47,78.47,78.47,11995,0.0,0.0
09-09-20,10:18:00,78.48,78.48,78.48,78.48,18474,0.010000000000005116,0.013
09-09-20,10:18:15,78.48,78.535,78.48,78.53,67887,0.04999999999999716,0.064
09-09-20,10:18:30,78.53,78.53,78.53,78.53,63412,0.04999999999999716,0.064
09-09-20,10:18:45,78.53,78.53,78.53,78.53,26059,0.0,0.0
09-09-20,10:19:00,78.53,78.53,78.53,78.53,20120,0.0,0.0
09-09-20,10:19:15,78.53,78.53,78.53,78.53,7833,0.0,0.0
09-09-20,10:19:30,78.47,78.47,78.47,78.47,34223,-0.060000000000002274,-0.076
09-09-20,10:19:45,78.47,78.55,78.47,78.55,27265,0.0799999999999983,0.102
09-09-20,10:20:00,78.55,78.55,78.5,78.5,18412,0.030000000000001137,0.038
09-09-20,10:20:15,78.5,78.545,78.49,78.49,12639,-0.010000000000005116,-0.013
09-09-20,10:20:30,78.49,78.49,78.49,78.49,22078,0.0,0.0
09-09-20,10:20:45,78.49,78.49,78.49,78.49,15116,0.0,0.0
09-09-20,10:21:00,78.49,78.525,78.49,78.525,7371,0.0350000000000108,0.045
09-09-20,10:21:15,78.525,78.525,78.525,78.525,14622,0.0350000000000108,0.045
09-09-20,10:21:30,78.525,78.56,78.525,78.56,21702,0.03499999999999659,0.045
09-09-20,10:21:45,78.56,78.56,78.56,78.56,10258,0.03499999999999659,0.045
09-09-20,10:22:00,78.56,78.56,78.495,78.495,51804,-0.06499999999999773,-0.083
09-09-20,10:22:15,78.495,78.495,78.37,78.37,26082,-0.125,-0.159
09-09-20,10:22:30,78.37,78.4,78.37,78.4,14777,0.030000000000001137,0.038
09-09-20,10:22:45,78.4,78.4,78.34,78.34,19602,-0.030000000000001137,-0.038
09-09-20,10:23:00,78.34,78.34,78.31,78.32,51003,-0.020000000000010232,-0.026
09-09-20,10:23:15,78.32,78.35,78.32,78.35,17806,0.03999999999999204,0.051
09-09-20,10:23:30,78.35,78.35,78.35,78.35,10418,0.030000000000001137,0.038
09-09-20,10:23:45,78.35,78.365,78.325,78.325,25514,-0.024999999999991473,-0.032
09-09-20,10:24:00,78.325,78.325,78.325,78.325,9365,0.0,0.0
09-09-20,10:24:15,78.325,78.325,78.32,78.32,18505,-0.005000000000009663,-0.006
09-09-20,10:24:30,78.32,78.32,78.2,78.2,36181,-0.11999999999999034,-0.153
09-09-20,10:24:45,78.2,78.2,78.2,78.2,19815,0.0,0.0
09-09-20,10:25:00,78.2,78.2,78.2,78.2,12410,0.0,0.0
09-09-20,10:25:15,78.2,78.24,78.2,78.24,19091,0.03999999999999204,0.051
09-09-20,10:25:30,78.24,78.24,78.175,78.175,100491,-0.025000000000005684,-0.032
09-09-20,10:25:45,78.2,78.2,78.2,78.2,12244,0.025000000000005684,0.032
09-09-20,10:26:00,78.2,78.2,78.2,78.2,13411,0.0,0.0
09-09-20,10:26:15,78.2,78.2,78.11,78.11,19514,-0.09000000000000341,-0.115
09-09-20,10:26:30,78.11,78.125,78.105,78.125,17021,0.015000000000000568,0.019
09-09-20,10:26:45,78.125,78.125,78.125,78.125,13953,0.01999999999999602,0.026
09-09-20,10:27:00,78.125,78.135,78.125,78.135,15292,0.010000000000005116,0.013
09-09-20,10:27:15,78.135,78.135,78.135,78.135,30612,0.010000000000005116,0.013
