adjusted_mark_price,ask_price,ask_size,bid_price,bid_size,break_even_price,chance_of_profit_long,chance_of_profit_short,delta,gamma,high_fill_rate_buy_price,high_fill_rate_sell_price,high_price,implied_volatility,instrument,last_trade_price,last_trade_size,low_fill_rate_buy_price,low_fill_rate_sell_price,low_price,mark_price,open_interest,previous_close_date,previous_close_price,rho,theta,vega,volume,chain_id,chain_symbol,created_at,expiration_date,id,issue_date,min_ticks,rhs_tradability,sellout_datetime,state,strike_price,tradability,type,updated_at,url,time_stamp,bid_ask_spread
0.380000,0.380000,26,0.370000,26,53.380000,0.225717,0.774283,0.296618,0.167136,0.380000,0.370000,0.880000,0.539324,https://api.robinhood.com/options/instruments/7b26a84c-e434-45c1-97f6-b7f49c7a70f5/,0.370000,1.0,0.370000,0.380000,0.250000,0.375000,6323,2020-06-29,0.240000,0.000822,-0.179030,0.013274,33107,e66ce029-db96-4572-87a0-b144613c08bf,AMD,2020-05-21T02:12:33.396600Z,2020-07-02,7b26a84c-e434-45c1-97f6-b7f49c7a70f5,1987-01-12,"{'above_tick': '0.05', 'below_tick': '0.01', 'cutoff_price': '3.00'}",untradable,2020-07-02T18:45:00+00:00,active,53.0000,tradable,call,2020-05-21T02:12:33.396609Z,https://api.robinhood.com/options/instruments/7b26a84c-e434-45c1-97f6-b7f49c7a70f5/,1593539028,0.01
0.190000,0.200000,32,0.180000,25,54.190000,0.138646,0.861354,0.168430,0.116655,0.200000,0.180000,0.540000,0.561936,https://api.robinhood.com/options/instruments/fbc6fd53-13a2-4501-ae1a-ff25f105aec7/,0.180000,1.0,0.180000,0.190000,0.160000,0.190000,7452,2020-06-29,0.140000,0.000468,-0.135643,0.009653,19460,e66ce029-db96-4572-87a0-b144613c08bf,AMD,2020-05-21T02:12:33.396546Z,2020-07-02,fbc6fd53-13a2-4501-ae1a-ff25f105aec7,1987-01-12,"{'above_tick': '0.05', 'below_tick': '0.01', 'cutoff_price': '3.00'}",untradable,2020-07-02T18:45:00+00:00,active,54.0000,tradable,call,2020-05-21T02:12:33.396554Z,https://api.robinhood.com/options/instruments/fbc6fd53-13a2-4501-ae1a-ff25f105aec7/,1593539028,0.02
0.110000,0.110000,143,0.100000,18,55.110000,0.085559,0.914441,0.100412,0.074722,0.110000,0.100000,0.340000,0.613894,https://api.robinhood.com/options/instruments/5e9f7883-088f-46c0-82f4-e7db36c88888/,0.100000,80.0,0.100000,0.110000,0.090000,0.105000,9837,2020-06-29,0.090000,0.000279,-0.103689,0.006755,18412,e66ce029-db96-4572-87a0-b144613c08bf,AMD,2020-05-21T02:12:33.396388Z,2020-07-02,5e9f7883-088f-46c0-82f4-e7db36c88888,1987-01-12,"{'above_tick': '0.05', 'below_tick': '0.01', 'cutoff_price': '3.00'}",untradable,2020-07-02T18:45:00+00:00,active,55.0000,tradable,call,2020-05-21T02:12:33.396396Z,https://api.robinhood.com/options/instruments/5e9f7883-088f-46c0-82f4-e7db36c88888/,1593539028,0.01
0.730000,0.740000,34,0.710000,92,52.730000,0.324191,0.675809,0.476331,0.197093,0.740000,0.710000,1.360000,0.526549,https://api.robinhood.com/options/instruments/e85c812c-266d-45b8-9832-e6711a40e63f/,0.730000,1.0,0.720000,0.730000,0.460000,0.725000,9619,2020-06-29,0.430000,0.001313,-0.201266,0.015282,15125,e66ce029-db96-4572-87a0-b144613c08bf,AMD,2020-05-21T02:12:33.396775Z,2020-07-02,e85c812c-266d-45b8-9832-e6711a40e63f,1987-01-12,"{'above_tick': '0.05', 'below_tick': '0.01', 'cutoff_price': '3.00'}",untradable,2020-07-02T18:45:00+00:00,active,52.0000,tradable,call,2020-05-21T02:12:33.396784Z,https://api.robinhood.com/options/instruments/e85c812c-266d-45b8-9832-e6711a40e63f/,1593539028,0.03
2.240000,2.260000,22,2.220000,18,59.740000,0.215843,0.784157,0.346557,0.034310,2.260000,2.220000,2.650000,0.549725,https://api.robinhood.com/options/instruments/66ba2948-0e3e-4a7b-82bd-d80000a11f3d/,2.240000,2.0,2.230000,2.250000,1.980000,2.240000,6926,2020-06-29,1.790000,0.022404,-0.038235,0.072213,14384,e66ce029-db96-4572-87a0-b144613c08bf,AMD,2020-06-18T04:14:57.576806Z,2020-08-21,66ba2948-0e3e-4a7b-82bd-d80000a11f3d,1987-01-12,"{'above_tick': '0.05', 'below_tick': '0.01', 'cutoff_price': '3.00'}",untradable,2020-08-21T18:45:00+00:00,active,57.5000,tradable,call,2020-06-18T04:14:57.576815Z,https://api.robinhood.com/options/instruments/66ba2948-0e3e-4a7b-82bd-d80000a11f3d/,1593539028,0.04
1.100000,1.110000,9,1.090000,65,56.100000,0.220474,0.779526,0.315347,0.062164,1.110000,1.090000,1.440000,0.511023,https://api.robinhood.com/options/instruments/76f36563-7872-42bb-aaea-d48f4ff499f7/,1.120000,1.0,1.090000,1.110000,0.900000,1.100000,48843,2020-06-29,0.830000,0.007102,-0.059825,0.039762,13754,e66ce029-db96-4572-87a0-b144613c08bf,AMD,2019-11-19T03:06:17.868469Z,2020-07-17,76f36563-7872-42bb-aaea-d48f4ff499f7,1987-01-12,"{'above_tick': '0.05', 'below_tick': '0.01', 'cutoff_price': '3.00'}",untradable,2020-07-17T18:45:00+00:00,active,55.0000,tradable,call,2019-11-19T03:06:17.868476Z,https://api.robinhood.com/options/instruments/76f36563-7872-42bb-aaea-d48f4ff499f7/,1593539028,0.02
0.370000,0.370000,60,0.360000,2,60.370000,0.093253,0.906747,0.125216,0.032916,0.370000,0.360000,0.560000,0.559673,https://api.robinhood.com/options/instruments/f78239da-8e5f-4e56-ada4-f47542309889/,0.360000,2.0,0.360000,0.370000,0.330000,0.365000,65816,2020-06-29,0.310000,0.002851,-0.037981,0.023058,6354,e66ce029-db96-4572-87a0-b144613c08bf,AMD,2019-12-17T05:11:30.867840Z,2020-07-17,f78239da-8e5f-4e56-ada4-f47542309889,1987-01-12,"{'above_tick': '0.05', 'below_tick': '0.01', 'cutoff_price': '3.00'}",untradable,2020-07-17T18:45:00+00:00,active,60.0000,tradable,call,2019-12-17T05:11:30.867850Z,https://api.robinhood.com/options/instruments/f78239da-8e5f-4e56-ada4-f47542309889/,1593539028,0.01
0.600000,0.610000,51,0.590000,11,55.600000,0.185024,0.814976,0.247637,0.074559,0.610000,0.590000,0.930000,0.494208,https://api.robinhood.com/options/instruments/cfb0f1d0-4ddb-4f96-b25d-a74a07d5d419/,0.590000,8.0,0.590000,0.600000,0.500000,0.600000,7050,2020-06-29,0.450000,0.003353,-0.067089,0.027130,5894,e66ce029-db96-4572-87a0-b144613c08bf,AMD,2020-05-28T01:13:19.025816Z,2020-07-10,cfb0f1d0-4ddb-4f96-b25d-a74a07d5d419,1987-01-12,"{'above_tick': '0.05', 'below_tick': '0.01', 'cutoff_price': '3.00'}",untradable,2020-07-10T18:45:00+00:00,active,55.0000,tradable,call,2020-05-28T01:13:19.025824Z,https://api.robinhood.com/options/instruments/cfb0f1d0-4ddb-4f96-b25d-a74a07d5d419/,1593539028,0.02
1.310000,1.320000,4,1.290000,26,52.310000,0.403245,0.596755,0.665571,0.175167,1.320000,1.290000,2.040000,0.541627,https://api.robinhood.com/options/instruments/b0d01a8a-eb69-45a1-a30e-59be9357fbb7/,1.320000,5.0,1.300000,1.310000,0.930000,1.305000,5176,2020-06-29,0.740000,0.001819,-0.189309,0.013971,5700,e66ce029-db96-4572-87a0-b144613c08bf,AMD,2020-05-21T02:12:33.396881Z,2020-07-02,b0d01a8a-eb69-45a1-a30e-59be9357fbb7,1987-01-12,"{'above_tick': '0.05', 'below_tick': '0.01', 'cutoff_price': '3.00'}",untradable,2020-07-02T18:45:00+00:00,active,51.0000,tradable,call,2020-05-21T02:12:33.396890Z,https://api.robinhood.com/options/instruments/b0d01a8a-eb69-45a1-a30e-59be9357fbb7/,1593539028,0.03
2.080000,2.100000,17,2.060000,8,52.080000,0.448495,0.551505,0.807623,0.123721,2.100000,2.060000,2.810000,0.575952,https://api.robinhood.com/options/instruments/9c3eb550-fdaa-46d4-99d0-aed3fe7f75e1/,2.160000,1.0,2.070000,2.080000,1.290000,2.080000,8420,2020-06-29,1.200000,0.002180,-0.151250,0.010493,5535,e66ce029-db96-4572-87a0-b144613c08bf,AMD,2020-05-21T02:12:33.397146Z,2020-07-02,9c3eb550-fdaa-46d4-99d0-aed3fe7f75e1,1987-01-12,"{'above_tick': '0.05', 'below_tick': '0.01', 'cutoff_price': '3.00'}",untradable,2020-07-02T18:45:00+00:00,active,50.0000,tradable,call,2020-05-21T02:12:33.397155Z,https://api.robinhood.com/options/instruments/9c3eb550-fdaa-46d4-99d0-aed3fe7f75e1/,1593539028,0.04
