date,minute,up,down,changePercent_nt_1,changePercent_nt_2,changePercent_nt_3,changePercent_nt_4,momentum,other,overlays,score,weighted_score
2020-06-19,09:30,0,0,1,0,0,0,4,2,6,12,6
2020-06-19,09:40,1,0,0,0,0,1,4,2,6,12,6
2020-06-19,09:50,1,0,1,0,0,0,4,2,6,12,6
2020-06-19,10:00,1,0,1,0,0,0,4,2,6,12,6
2020-06-19,10:10,0,1,0,0,0,1,4,2,6,12,6
2020-06-19,10:20,0,1,0,0,0,1,4,2,6,12,6
2020-06-19,10:30,0,1,1,0,0,0,4,2,6,12,6
2020-06-19,10:40,0,1,0,1,0,0,4,2,6,12,6
2020-06-19,10:50,1,0,0,0,1,0,4,2,6,12,6
2020-06-19,11:00,1,0,0,0,1,0,4,2,6,12,6
2020-06-19,11:10,0,1,0,0,1,0,4,2,5,11,9
2020-06-19,11:20,1,0,0,1,0,0,4,2,7,13,6
2020-06-19,11:30,0,1,0,0,1,0,4,2,1,7,5
2020-06-19,11:40,0,1,1,0,0,0,4,2,5,11,9
2020-06-19,11:50,0,1,1,0,0,0,4,2,5,11,9
2020-06-19,12:00,0,1,0,0,1,0,2,2,5,9,9
2020-06-19,12:10,0,1,0,0,0,1,1,2,5,8,9
2020-06-19,12:20,1,0,0,0,1,0,1,2,5,8,9
2020-06-19,12:30,1,0,1,0,0,0,3,2,5,10,7
2020-06-19,12:40,1,0,0,0,0,1,4,2,5,11,9
2020-06-19,12:50,1,0,0,0,1,0,4,1,7,12,6
2020-06-19,13:00,0,1,0,0,1,0,4,2,1,7,5
2020-06-19,13:10,0,1,1,0,0,0,4,2,4,10,2
2020-06-19,13:20,0,1,0,0,1,0,4,2,4,10,2
2020-06-19,13:30,1,0,1,0,0,0,4,1,4,9,2
2020-06-19,13:40,0,1,0,1,0,0,5,1,4,10,3
2020-06-19,13:50,0,1,0,0,1,0,3,2,5,10,7
2020-06-19,14:00,1,0,1,0,0,0,2,2,3,7,8
2020-06-19,14:10,0,1,0,0,1,0,1,1,4,6,2
2020-06-19,14:20,0,1,1,0,0,0,1,1,4,6,2
2020-06-19,14:30,1,0,0,0,0,1,3,1,3,7,5
2020-06-19,14:40,1,0,1,0,0,0,4,0,7,11,3
2020-06-19,14:50,1,0,0,1,0,0,4,1,5,10,8
2020-06-19,15:00,0,1,0,1,0,0,4,1,1,6,3
2020-06-19,15:10,1,0,0,0,0,1,2,2,8,12,10
2020-06-19,15:20,0,1,1,0,0,0,2,4,3,9,9
2020-06-19,15:30,0,1,0,1,0,0,4,1,4,9,2
2020-06-19,15:40,0,1,0,1,0,0,4,1,0,5,0
2020-06-19,15:50,1,0,0,1,0,0,4,1,5,10,8
2020-06-22,09:30,0,1,0,0,0,1,3,1,2,6,1
2020-06-22,09:40,0,1,0,1,0,0,2,4,1,7,6
2020-06-22,09:50,1,0,0,1,0,0,4,1,3,8,7
2020-06-22,10:00,0,1,0,0,1,0,1,1,3,5,8
2020-06-22,10:10,1,0,0,0,0,1,4,1,3,8,7
2020-06-22,10:20,0,0,1,0,0,0,4,1,3,8,7
2020-06-22,10:30,0,1,0,0,1,0,4,1,3,8,7
2020-06-22,10:40,1,0,0,0,0,1,4,4,8,16,10
2020-06-22,10:50,0,1,0,0,0,1,2,4,0,6,1
2020-06-22,11:00,1,0,0,1,0,0,4,1,3,8,7
2020-06-22,11:10,1,0,0,0,1,0,4,4,8,16,10
2020-06-22,11:20,0,1,0,1,0,0,4,1,0,5,0
2020-06-22,11:30,1,0,1,0,0,0,4,1,3,8,7
2020-06-22,11:40,1,0,1,0,0,0,4,1,5,10,8
2020-06-22,11:50,0,1,1,0,0,0,4,1,1,6,3
2020-06-22,12:00,1,0,0,0,1,0,4,1,8,13,10
2020-06-22,12:10,1,0,0,0,1,0,2,4,8,14,10
2020-06-22,12:20,1,0,0,1,0,0,1,0,6,7,3
2020-06-22,12:30,1,0,0,0,0,1,0,0,8,8,9
2020-06-22,12:40,0,0,1,0,0,0,0,0,7,7,1
2020-06-22,12:50,1,0,0,1,0,0,0,3,7,10,5
2020-06-22,13:00,0,1,0,0,1,0,3,1,7,11,5
2020-06-22,13:10,1,0,0,1,0,0,0,1,7,8,3
2020-06-22,13:20,0,1,0,0,1,0,3,0,7,10,2
2020-06-22,13:30,0,1,1,0,0,0,3,1,7,11,5
2020-06-22,13:40,1,0,0,0,1,0,1,1,8,10,10
2020-06-22,13:50,1,0,0,1,0,0,0,1,7,8,3
2020-06-22,14:00,0,1,0,0,1,0,3,1,7,11,5
2020-06-22,14:10,0,1,0,1,0,0,3,1,1,5,3
2020-06-22,14:20,0,1,1,0,0,0,4,1,6,11,6
2020-06-22,14:30,1,0,1,0,0,0,4,4,6,14,9
2020-06-22,14:40,1,0,1,0,0,0,4,1,8,13,10
2020-06-22,14:50,1,0,0,1,0,0,4,1,8,13,10
2020-06-22,15:00,0,1,1,0,0,0,4,1,7,12,6
2020-06-22,15:10,0,1,0,0,0,1,2,1,0,3,0
2020-06-22,15:20,0,1,0,0,1,0,4,1,0,5,0
