date,minute,up,down,changePercent_nt_1,changePercent_nt_2,changePercent_nt_3,momentum,other,overlays,score,weighted_score
2020-05-06,09:30,0,0,1,0,0,3,1,4,8,4
2020-05-06,10:00,1,0,1,0,0,3,1,4,8,4
2020-05-06,10:30,1,0,0,0,1,3,1,4,8,4
2020-05-06,11:00,1,0,1,0,0,3,1,4,8,4
2020-05-06,11:30,0,1,0,1,0,3,1,4,8,4
2020-05-06,12:00,1,0,1,0,0,3,1,4,8,4
2020-05-06,12:30,1,0,0,1,0,3,1,4,8,4
2020-05-06,13:00,1,0,1,0,0,3,1,4,8,4
2020-05-06,13:30,1,0,0,1,0,3,1,4,8,4
2020-05-06,14:00,0,1,0,1,0,3,1,4,8,4
2020-05-06,14:30,0,1,1,0,0,3,1,5,9,4
2020-05-06,15:00,0,1,0,0,1,3,1,1,5,1
2020-05-06,15:30,0,1,0,0,1,3,1,1,5,1
2020-05-07,09:30,0,1,1,0,0,3,1,3,7,2
2020-05-07,10:00,0,1,1,0,0,3,1,3,7,2
2020-05-07,10:30,0,1,0,1,0,2,1,3,6,2
2020-05-07,11:00,1,0,1,0,0,3,1,3,7,2
2020-05-07,11:30,1,0,1,0,0,3,1,3,7,2
2020-05-07,12:00,1,0,1,0,0,3,1,3,7,2
2020-05-07,12:30,1,0,0,1,0,3,1,6,10,7
2020-05-07,13:00,0,1,1,0,0,3,2,4,9,5
2020-05-07,13:30,0,1,1,0,0,3,2,0,5,0
2020-05-07,14:00,0,1,0,0,1,2,2,1,5,1
2020-05-07,14:30,0,1,1,0,0,0,2,1,3,2
2020-05-07,15:00,0,1,1,0,0,0,2,1,3,2
2020-05-07,15:30,1,0,1,0,0,4,2,4,10,6
2020-05-08,09:30,1,0,0,0,1,4,1,9,14,10
2020-05-08,10:00,1,0,0,0,1,3,1,5,9,4
2020-05-08,10:30,1,0,1,0,0,2,3,5,10,7
2020-05-08,11:00,0,1,1,0,0,2,1,5,8,4
2020-05-08,11:30,1,0,1,0,0,2,1,6,9,7
2020-05-08,12:00,0,1,1,0,0,4,1,8,13,9
2020-05-08,12:30,1,0,1,0,0,2,2,6,10,7
2020-05-08,13:00,0,1,0,0,1,4,2,1,7,2
2020-05-08,13:30,1,0,1,0,0,3,2,5,10,5
2020-05-08,14:00,1,0,0,1,0,3,2,9,14,10
2020-05-08,14:30,0,1,1,0,0,3,2,5,10,5
2020-05-08,15:00,1,0,1,0,0,3,2,5,10,5
2020-05-08,15:30,1,0,0,1,0,0,2,8,10,9
2020-05-11,09:30,1,0,0,0,1,0,0,8,8,8
2020-05-11,10:00,1,0,1,0,0,0,2,6,8,8
2020-05-11,10:30,0,1,1,0,0,0,0,6,6,7
2020-05-11,11:00,1,0,0,0,1,0,0,6,6,7
2020-05-11,11:30,1,0,0,1,0,0,2,6,8,8
2020-05-11,12:00,0,1,0,1,0,0,2,6,8,8
2020-05-11,12:30,1,0,0,1,0,0,2,6,8,8
2020-05-11,13:00,1,0,0,1,0,0,2,6,8,8
2020-05-11,13:30,1,0,1,0,0,0,2,6,8,8
2020-05-11,14:00,0,1,1,0,0,0,2,6,8,8
2020-05-11,14:30,1,0,1,0,0,0,2,6,8,8
2020-05-11,15:00,0,1,1,0,0,0,2,6,8,8
2020-05-11,15:30,1,0,0,1,0,0,2,6,8,8
2020-05-12,09:30,0,1,0,0,1,3,2,4,9,5
2020-05-12,10:00,1,0,0,0,1,3,3,8,14,10
2020-05-12,10:30,1,0,0,0,1,2,2,6,10,7
2020-05-12,11:00,1,0,1,0,0,4,2,6,12,8
2020-05-12,11:30,0,1,0,1,0,4,2,6,12,8
2020-05-12,12:00,0,1,1,0,0,4,2,6,12,8
2020-05-12,12:30,1,0,0,1,0,4,2,6,12,8
2020-05-12,13:00,0,1,0,0,1,4,2,0,6,1
2020-05-12,13:30,1,0,0,0,1,4,2,6,12,8
2020-05-12,14:00,0,1,0,1,0,4,2,1,7,2
2020-05-12,14:30,0,1,1,0,0,3,2,4,9,5
2020-05-12,15:00,0,1,0,0,1,2,0,0,2,0
2020-05-12,15:30,0,1,0,0,1,1,0,0,1,0
2020-05-13,09:30,1,0,0,0,1,4,2,1,7,2
2020-05-13,10:00,1,0,0,0,1,3,2,9,14,10
2020-05-13,10:30,0,1,0,0,1,3,2,0,5,0
2020-05-13,11:00,0,1,0,1,0,3,2,1,6,1
2020-05-13,11:30,0,1,0,0,1,2,0,0,2,0
2020-05-13,12:00,0,1,0,0,1,1,0,2,3,3
2020-05-13,12:30,1,0,0,1,0,3,2,2,7,4
2020-05-13,13:00,0,1,0,0,1,1,2,2,5,3
2020-05-13,13:30,0,1,0,1,0,0,1,2,3,5
2020-05-13,14:00,1,0,0,1,0,1,3,2,6,6
2020-05-13,14:30,0,1,0,0,1,1,1,2,4,3
2020-05-13,15:00,1,0,0,1,0,1,1,2,4,3
2020-05-13,15:30,1,0,0,0,1,3,1,2,6,3
2020-05-14,09:30,0,1,0,1,0,1,1,2,4,3
2020-05-14,10:00,1,0,1,0,0,1,2,2,5,3
2020-05-14,10:30,1,0,0,0,1,3,1,7,11,6
2020-05-14,11:00,1,0,0,0,1,3,3,8,14,10
2020-05-14,11:30,0,1,0,0,1,3,2,3,8,2
2020-05-14,12:00,1,0,0,1,0,3,1,5,9,4
2020-05-14,12:30,1,0,0,0,1,2,2,8,12,9
2020-05-14,13:00,1,0,0,1,0,1,1,8,10,8
2020-05-14,13:30,0,1,0,1,0,1,2,4,7,4
2020-05-14,14:00,1,0,1,0,0,1,2,5,8,4
2020-05-14,14:30,1,0,0,0,1,1,3,9,13,10
2020-05-14,15:00,1,0,0,0,1,1,0,8,9,7
2020-05-14,15:30,1,0,0,0,1,1,0,7,8,3
2020-05-15,09:30,0,1,0,0,1,3,2,7,12,6
2020-05-15,10:00,1,0,1,0,0,3,3,7,13,8
2020-05-15,10:30,0,1,0,0,1,3,2,0,5,0
2020-05-15,11:00,0,1,1,0,0,3,2,1,6,1
2020-05-15,11:30,1,0,0,0,1,3,2,9,14,10
2020-05-15,12:00,1,0,0,0,1,3,2,8,13,9
2020-05-15,12:30,1,0,1,0,0,3,2,7,12,6
2020-05-15,13:00,1,0,0,0,1,3,3,8,14,10
2020-05-15,13:30,0,1,0,0,1,3,2,5,10,5
2020-05-15,14:00,1,0,0,1,0,3,3,6,12,9
2020-05-15,14:30,0,1,0,1,0,3,2,8,13,9
2020-05-15,15:00,1,0,0,0,1,3,2,8,13,9
2020-05-15,15:30,1,0,1,0,0,2,3,8,13,10
2020-05-18,09:30,1,0,0,0,1,3,2,8,13,9
2020-05-18,10:00,1,0,0,1,0,3,2,8,13,9
2020-05-18,10:30,1,0,0,0,1,1,0,8,9,7
2020-05-18,11:00,0,1,0,0,1,3,2,8,13,9
2020-05-18,11:30,1,0,0,1,0,2,2,8,12,9
2020-05-18,12:00,0,1,0,1,0,3,2,8,13,9
2020-05-18,12:30,0,1,1,0,0,3,2,5,10,5
2020-05-18,13:00,1,0,0,0,1,3,2,8,13,9
2020-05-18,13:30,0,1,0,0,1,3,2,5,10,5
2020-05-18,14:00,1,0,0,1,0,3,2,9,14,10
2020-05-18,14:30,0,1,0,1,0,3,3,3,9,3
2020-05-18,15:00,1,0,1,0,0,2,2,8,12,9
2020-05-18,15:30,1,0,1,0,0,2,2,6,10,7
2020-05-19,09:30,1,0,0,0,1,0,3,9,12,10
2020-05-19,10:00,1,0,0,1,0,0,0,7,7,4
2020-05-19,10:30,1,0,0,0,1,0,0,7,7,4
2020-05-19,11:00,0,1,0,1,0,0,0,7,7,4
2020-05-19,11:30,0,1,1,0,0,0,2,7,9,7
2020-05-19,12:00,0,1,0,1,0,1,2,7,10,6
2020-05-19,12:30,1,0,0,1,0,0,2,7,9,7
2020-05-19,13:00,1,0,0,0,1,0,2,7,9,7
2020-05-19,13:30,0,1,1,0,0,1,2,7,10,6
2020-05-19,14:00,0,1,0,1,0,1,2,7,10,6
2020-05-19,14:30,0,1,0,0,1,3,3,4,10,7
2020-05-19,15:00,1,0,0,1,0,3,2,6,11,7
2020-05-19,15:30,0,1,0,0,1,3,2,0,5,0
2020-05-20,09:30,1,0,0,0,1,2,1,9,12,10
2020-05-20,10:00,0,1,0,0,1,3,1,2,6,3
2020-05-20,10:30,1,0,0,0,1,3,1,9,13,10
2020-05-20,11:00,1,0,0,1,0,3,1,7,11,6
2020-05-20,11:30,1,0,1,0,0,3,2,7,12,6
2020-05-20,12:00,0,1,0,0,1,3,1,5,9,4
2020-05-20,12:30,0,1,0,1,0,3,2,4,9,5
2020-05-20,13:00,0,1,0,1,0,3,1,4,8,4
2020-05-20,13:30,1,0,1,0,0,3,1,1,5,1
2020-05-20,14:00,0,1,0,1,0,3,2,3,8,2
2020-05-20,14:30,1,0,0,0,1,3,2,8,13,9
2020-05-20,15:00,1,0,1,0,0,3,2,9,14,10
2020-05-20,15:30,1,0,0,1,0,3,2,8,13,9
2020-05-21,09:30,0,1,0,0,1,3,2,0,5,0
2020-05-21,10:00,0,1,0,1,0,2,2,0,4,0
2020-05-21,10:30,0,1,0,0,1,1,0,0,1,0
2020-05-21,11:00,0,1,0,1,0,3,0,0,3,0
2020-05-21,11:30,1,0,1,0,0,1,2,4,7,4
2020-05-21,12:00,1,0,0,1,0,3,2,3,8,2
2020-05-21,12:30,0,1,0,1,0,2,2,0,4,0
2020-05-21,13:00,1,0,1,0,0,3,2,5,10,5
2020-05-21,13:30,0,1,1,0,0,1,2,0,3,0
2020-05-21,14:00,1,0,1,0,0,1,2,1,4,1
2020-05-21,14:30,0,1,0,1,0,1,3,1,5,2
2020-05-21,15:00,1,0,1,0,0,1,2,2,5,3
2020-05-21,15:30,0,1,0,1,0,1,2,2,5,3
2020-05-22,09:30,1,0,0,1,0,3,2,2,7,4
2020-05-22,10:00,0,1,1,0,0,3,2,3,8,2
2020-05-22,10:30,0,1,0,1,0,3,2,2,7,4
2020-05-22,11:00,1,0,1,0,0,3,2,2,7,4
2020-05-22,11:30,1,0,0,1,0,3,2,2,7,4
2020-05-22,12:00,1,0,0,1,0,3,2,5,10,5
2020-05-22,12:30,1,0,0,1,0,2,3,5,10,7
2020-05-22,13:00,1,0,0,0,1,1,2,9,12,10
2020-05-22,13:30,0,1,0,1,0,1,2,1,4,1
2020-05-22,14:00,0,1,1,0,0,3,1,0,4,0
2020-05-22,14:30,1,0,1,0,0,1,1,9,11,9
2020-05-22,15:00,0,1,1,0,0,1,1,0,2,0
2020-05-22,15:30,1,0,1,0,0,1,1,9,11,9
2020-05-26,09:30,0,1,1,0,0,3,3,7,13,8
2020-05-26,10:00,1,0,0,1,0,3,1,9,13,10
2020-05-26,10:30,0,1,0,1,0,3,1,0,4,0
2020-05-26,11:00,0,1,0,1,0,3,1,1,5,1
2020-05-26,11:30,0,1,0,0,1,3,3,1,7,2
2020-05-26,12:00,1,0,1,0,0,1,1,1,3,1
2020-05-26,12:30,0,1,0,1,0,1,1,1,3,1
2020-05-26,13:00,1,0,1,0,0,1,1,1,3,1
2020-05-26,13:30,0,1,1,0,0,1,1,1,3,1
2020-05-26,14:00,0,1,1,0,0,1,1,1,3,1
2020-05-26,14:30,0,1,0,1,0,1,1,1,3,1
2020-05-26,15:00,0,1,0,0,1,0,0,1,1,1
2020-05-26,15:30,0,1,0,0,1,0,0,1,1,1
2020-05-27,09:30,0,1,0,0,1,0,0,0,0,0
2020-05-27,10:00,0,1,0,0,1,0,0,2,2,3
2020-05-27,10:30,0,1,0,0,1,0,0,2,2,3
2020-05-27,11:00,1,0,0,0,1,1,2,2,5,3
2020-05-27,11:30,0,1,1,0,0,1,2,2,5,3
2020-05-27,12:00,1,0,0,0,1,4,2,2,8,6
2020-05-27,12:30,1,0,0,0,1,4,2,2,8,6
2020-05-27,13:00,1,0,0,0,1,4,2,5,11,6
2020-05-27,13:30,1,0,1,0,0,4,2,4,10,6
2020-05-27,14:00,1,0,0,0,1,4,3,4,11,8
2020-05-27,14:30,1,0,0,0,1,3,2,8,13,9
2020-05-27,15:00,0,1,1,0,0,3,2,5,10,5
2020-05-27,15:30,1,0,0,1,0,3,1,5,9,4
2020-05-29,09:30,1,0,1,0,0,0,1,5,6,6
2020-05-29,10:00,0,1,0,0,1,1,1,3,5,2
2020-05-29,10:30,1,0,1,0,0,1,1,5,7,4
2020-05-29,11:00,0,1,1,0,0,2,1,1,4,1
2020-05-29,11:30,1,0,0,0,1,1,1,9,11,9
2020-05-29,12:00,0,1,0,0,1,3,1,0,4,0
2020-05-29,12:30,1,0,0,1,0,3,2,6,11,7
2020-05-29,13:00,1,0,1,0,0,3,2,8,13,9
2020-05-29,13:30,0,1,0,1,0,3,2,0,5,0
2020-05-29,14:00,1,0,0,0,1,3,2,9,14,10
2020-05-29,14:30,0,1,1,0,0,3,2,5,10,5
2020-05-29,15:00,1,0,0,0,1,3,3,9,15,10
2020-05-29,15:30,1,0,0,0,1,1,0,9,10,8
2020-06-01,09:30,1,0,0,1,0,0,0,6,6,7
2020-06-01,10:00,1,0,1,0,0,0,0,9,9,9
2020-06-01,10:30,0,1,0,0,1,3,2,6,11,7
2020-06-01,11:00,0,1,1,0,0,3,2,6,11,7
2020-06-01,11:30,0,1,0,1,0,3,2,9,14,10
2020-06-01,12:00,1,0,1,0,0,3,3,5,11,7
2020-06-01,12:30,1,0,0,1,0,3,2,9,14,10
2020-06-01,13:00,1,0,0,0,1,2,2,9,13,10
2020-06-01,13:30,0,1,0,1,0,3,2,5,10,5
2020-06-01,14:00,1,0,1,0,0,3,2,6,11,7
2020-06-01,14:30,0,1,1,0,0,3,2,5,10,5
2020-06-01,15:00,1,0,0,1,0,3,2,8,13,9
2020-06-01,15:30,1,0,1,0,0,3,2,9,14,10
2020-06-02,09:30,0,1,0,0,1,3,3,0,6,1
2020-06-02,10:00,0,1,1,0,0,3,2,4,9,5
2020-06-02,10:30,0,1,0,0,1,2,2,1,5,1
2020-06-02,11:00,0,1,0,1,0,3,0,1,4,0
2020-06-02,11:30,0,1,1,0,0,4,0,1,5,1
2020-06-02,12:00,1,0,1,0,0,3,2,3,8,2
2020-06-02,12:30,1,0,1,0,0,3,2,4,9,5
2020-06-02,13:00,1,0,0,0,1,3,1,6,10,7
2020-06-02,13:30,1,0,1,0,0,3,1,5,9,4
2020-06-02,14:00,0,1,1,0,0,3,1,0,4,0
2020-06-02,14:30,0,1,1,0,0,3,1,3,7,2
2020-06-02,15:00,1,0,0,1,0,3,2,6,11,7
2020-06-02,15:30,1,0,0,0,1,0,3,9,12,10
2020-06-03,09:30,0,1,0,0,1,3,2,0,5,0
2020-06-03,10:00,0,1,0,1,0,3,2,3,8,2
2020-06-03,10:30,0,1,0,0,1,3,3,0,6,1
2020-06-03,11:00,1,0,0,1,0,3,3,4,10,7
2020-06-03,11:30,0,1,1,0,0,3,1,1,5,1
2020-06-03,12:00,0,1,0,1,0,2,1,2,5,3
2020-06-03,12:30,1,0,0,1,0,1,1,2,4,3
2020-06-03,13:00,1,0,1,0,0,3,1,2,6,3
2020-06-03,13:30,0,1,0,1,0,1,2,3,6,2
2020-06-03,14:00,1,0,0,1,0,3,2,3,8,2
2020-06-03,14:30,1,0,1,0,0,3,2,7,12,6
2020-06-03,15:00,1,0,0,1,0,3,3,9,15,10
2020-06-03,15:30,0,1,0,1,0,3,2,0,5,0
2020-06-04,09:30,1,0,0,0,1,2,0,9,11,9
2020-06-04,10:00,1,0,1,0,0,3,2,7,12,6
2020-06-04,10:30,0,1,0,1,0,3,2,7,12,6
2020-06-04,11:00,0,1,0,0,1,3,1,0,4,0
2020-06-04,11:30,1,0,0,1,0,3,1,4,8,4
2020-06-04,12:00,0,1,0,0,1,2,3,1,6,2
2020-06-04,12:30,0,1,0,1,0,2,2,3,7,2
2020-06-04,13:00,1,0,1,0,0,3,2,3,8,2
2020-06-04,13:30,1,0,0,0,1,3,1,4,8,4
2020-06-04,14:00,0,1,0,1,0,3,2,3,8,2
2020-06-04,14:30,0,1,0,0,1,1,1,1,3,1
2020-06-04,15:00,1,0,0,1,0,1,2,3,6,2
2020-06-04,15:30,1,0,0,1,0,3,1,7,11,6
