date,open,high,low,close,change,changePercent,volume,up,down,changePercent_nt_1_0.86,changePercent_nt_2_1.93,changePercent_nt_3_3.51,changePercent_nt_4_7.02,momentum,other,overlays,score,weighted_score
2015-07-28,1.62,1.77,1.62,1.77,0.0,0.0,14614569,0,0,1,0,0,0,4,0,3,7,3
2015-07-29,1.77,1.99,1.76,1.96,0.19,10.7345,25582209,1,0,0,0,0,1,4,0,3,7,3
2015-07-30,1.94,1.99,1.88,1.93,-0.03,-1.5306,15837969,0,1,0,1,0,0,4,0,3,7,3
2015-07-31,1.94,1.99,1.92,1.93,0.0,0.0,7733694,0,0,1,0,0,0,4,0,3,7,3
2015-08-03,1.93,2.2,1.9,2.2,0.27,13.9896,26218162,1,0,0,0,0,1,4,0,3,7,3
2015-08-04,2.18,2.18,2.05,2.13,-0.07,-3.1818,14328420,0,1,0,0,1,0,4,0,3,7,3
2015-08-05,2.11,2.21,2.1,2.16,0.03,1.4085,13236010,1,0,0,1,0,0,4,0,3,7,3
2015-08-06,2.15,2.17,2.1,2.11,-0.05,-2.3148,9475686,0,1,0,0,1,0,4,0,3,7,3
2015-08-07,2.1,2.14,2.06,2.09,-0.02,-0.9479,7680811,0,1,0,1,0,0,4,0,3,7,3
2015-08-10,1.92,1.98,1.82,1.93,-0.16,-7.6555,29926180,0,1,0,0,0,1,4,0,3,7,3
2015-08-11,1.91,1.93,1.88,1.9,-0.03,-1.5544,7479178,0,1,0,1,0,0,4,0,3,7,3
2015-08-12,1.88,1.93,1.84,1.9,0.0,0.0,8527768,0,0,1,0,0,0,4,0,1,5,1
2015-08-13,1.9,1.91,1.79,1.79,-0.11,-5.7895,7839742,0,1,0,0,0,1,4,0,2,6,3
2015-08-14,1.8,1.85,1.79,1.84,0.05,2.7933,6183360,1,0,0,0,1,0,4,0,2,6,3
2015-08-17,1.82,1.88,1.8,1.8,-0.04,-2.1739,9062449,0,1,0,0,1,0,2,0,2,4,5
2015-08-18,1.79,1.82,1.75,1.8,0.0,0.0,9751946,0,0,1,0,0,0,1,0,2,3,4
2015-08-19,1.8,1.81,1.76,1.8,0.0,0.0,7441178,0,0,1,0,0,0,1,0,2,3,4
2015-08-20,1.79,1.8,1.7,1.7,-0.1,-5.5556,13745659,0,1,0,0,0,1,1,0,2,3,4
2015-08-21,1.68,1.8,1.68,1.78,0.08,4.7059,12529458,1,0,0,0,0,1,1,0,2,3,4
2015-08-24,1.69,1.83,1.65,1.75,-0.03,-1.6854,17217369,0,1,0,1,0,0,1,0,2,3,4
2015-08-25,1.82,1.82,1.66,1.66,-0.09,-5.1429,12097696,0,1,0,0,0,1,0,1,2,3,6
2015-08-26,1.69,1.73,1.66,1.72,0.06,3.6145,10715268,1,0,0,0,0,1,1,1,2,4,3
2015-08-27,1.74,1.84,1.74,1.78,0.06,3.4884,11839293,1,0,0,0,1,0,4,1,2,7,2
2015-08-28,1.75,1.87,1.75,1.85,0.07,3.9326,10924564,1,0,0,0,0,1,4,1,7,12,8
2015-08-31,1.82,1.87,1.79,1.81,-0.04,-2.1622,6516004,0,1,0,0,1,0,4,0,0,4,0
2015-09-01,1.77,1.82,1.71,1.71,-0.1,-5.5249,8470710,0,1,0,0,0,1,5,1,1,7,1
2015-09-02,1.75,1.77,1.72,1.77,0.06,3.5088,6306136,1,0,0,0,1,0,5,0,2,7,3
2015-09-03,1.76,1.85,1.76,1.79,0.02,1.1299,7154356,1,0,0,1,0,0,5,0,3,8,2
2015-09-04,1.76,1.84,1.76,1.82,0.03,1.676,6725294,1,0,0,1,0,0,5,0,4,9,6
2015-09-08,1.85,1.88,1.83,1.88,0.06,3.2967,6009499,1,0,0,0,1,0,3,3,5,11,9
2015-09-09,1.9,1.97,1.83,1.85,-0.03,-1.5957,12612253,0,1,0,1,0,0,5,1,2,8,2
2015-09-10,1.84,1.88,1.83,1.84,-0.01,-0.5405,4290423,0,1,1,0,0,0,5,1,5,11,4
2015-09-11,1.88,2.14,1.81,2.01,0.17,9.2391,31010289,1,0,0,0,0,1,5,2,8,15,9
2015-09-14,2.0,2.0,1.81,1.82,-0.19,-9.4527,16458540,0,1,0,0,0,1,5,2,0,7,0
2015-09-15,1.84,1.87,1.81,1.86,0.04,2.1978,6524360,1,0,0,0,1,0,5,0,4,9,6
2015-09-16,1.87,1.9,1.85,1.89,0.03,1.6129,4928291,1,0,0,1,0,0,5,0,7,12,9
2015-09-17,1.9,1.94,1.87,1.89,0.0,0.0,5831567,0,0,1,0,0,0,5,1,2,8,2
2015-09-18,1.87,1.92,1.85,1.87,-0.02,-1.0582,11814043,0,1,0,1,0,0,5,0,1,6,1
2015-09-21,1.87,1.9,1.81,1.81,-0.06,-3.2086,5377758,0,1,0,0,1,0,5,1,0,6,0
2015-09-22,1.8,1.84,1.72,1.73,-0.08,-4.4199,9975166,0,1,0,0,0,1,3,3,1,7,4
2015-09-23,1.76,1.78,1.69,1.7,-0.03,-1.7341,9649200,0,1,0,1,0,0,4,1,1,6,1
2015-09-24,1.68,1.73,1.66,1.72,0.02,1.1765,11247701,1,0,0,1,0,0,2,1,1,4,2
2015-09-25,1.75,1.75,1.68,1.71,-0.01,-0.5814,5644642,0,1,1,0,0,0,2,1,1,4,2
2015-09-28,1.69,1.7,1.66,1.66,-0.05,-2.924,5693063,0,1,0,0,1,0,0,1,1,2,3
2015-09-29,1.67,1.69,1.65,1.67,0.01,0.6024,7005323,1,0,1,0,0,0,0,1,1,2,3
2015-09-30,1.7,1.72,1.68,1.72,0.05,2.994,5739499,1,0,0,0,1,0,2,2,1,5,1
2015-10-01,1.77,1.77,1.72,1.74,0.02,1.1628,5531739,1,0,0,1,0,0,4,1,1,6,1
2015-10-02,1.76,1.83,1.72,1.83,0.09,5.1724,7146087,1,0,0,0,0,1,5,1,5,11,4
2015-10-05,1.82,1.87,1.77,1.8,-0.03,-1.6393,7595560,0,1,0,1,0,0,5,3,4,12,8
2015-10-06,1.8,1.86,1.8,1.83,0.03,1.6667,8665487,1,0,0,1,0,0,5,1,3,9,1
2015-10-07,1.82,1.87,1.82,1.86,0.03,1.6393,7859214,1,0,0,1,0,0,6,1,8,15,9
2015-10-08,1.87,1.95,1.85,1.93,0.07,3.7634,9198667,1,0,0,0,0,1,3,0,4,7,7
2015-10-09,1.92,1.96,1.89,1.96,0.03,1.5544,8629061,1,0,0,1,0,0,2,3,5,10,9
2015-10-12,1.96,1.96,1.85,1.87,-0.09,-4.5918,7687701,0,1,0,0,0,1,4,0,1,5,1
2015-10-13,1.87,1.94,1.86,1.92,0.05,2.6738,6698446,1,0,0,0,1,0,2,0,7,9,10
2015-10-14,1.92,1.96,1.92,1.95,0.03,1.5625,10184322,1,0,0,1,0,0,2,3,5,10,9
2015-10-15,1.97,2.06,1.95,1.97,0.02,1.0256,27327109,1,0,0,1,0,0,3,1,4,8,7
2015-10-16,2.0,2.0,1.89,1.94,-0.03,-1.5228,21544863,0,1,0,1,0,0,4,2,4,10,5
2015-10-19,1.91,2.01,1.91,2.01,0.07,3.6082,10670760,1,0,0,0,0,1,3,3,7,13,10
2015-10-20,2.0,2.03,1.97,2.02,0.01,0.4975,5584188,1,0,1,0,0,0,2,1,7,10,9
2015-10-21,2.02,2.12,2.01,2.1,0.08,3.9604,14966473,1,0,0,0,0,1,2,1,4,7,7
2015-10-22,2.1,2.16,2.09,2.14,0.04,1.9048,8208419,1,0,0,1,0,0,2,1,5,8,7
2015-10-23,2.1,2.21,2.1,2.21,0.07,3.2710000000000004,9564205,1,0,0,0,1,0,0,0,7,7,10
2015-10-26,2.21,2.21,2.12,2.15,-0.06,-2.7149,6313499,0,1,0,0,1,0,2,1,5,8,7
2015-10-27,2.12,2.16,2.1,2.15,0.0,0.0,5755594,0,0,1,0,0,0,0,1,4,5,8
2015-10-28,2.14,2.2,2.12,2.18,0.03,1.3953,6950607,1,0,0,1,0,0,0,1,7,8,10
2015-10-29,2.15,2.18,2.11,2.13,-0.05,-2.2936,4500419,0,1,0,0,1,0,4,1,3,8,2
2015-10-30,2.14,2.15,2.12,2.12,-0.01,-0.4695,4897116,0,1,1,0,0,0,4,1,4,9,5
2015-11-02,2.13,2.19,2.11,2.19,0.07,3.3019,5858746,1,0,0,0,1,0,2,1,7,10,9
2015-11-03,2.16,2.29,2.16,2.28,0.09,4.1096,8705832,1,0,0,0,0,1,0,3,5,8,9
2015-11-04,2.27,2.3,2.18,2.2,-0.08,-3.5088,8205318,0,1,0,0,1,0,4,1,4,9,5
2015-11-05,2.21,2.24,2.17,2.2,0.0,0.0,4302179,0,0,1,0,0,0,4,1,7,12,8
2015-11-06,2.19,2.21,2.13,2.15,-0.05,-2.2727,8997105,0,1,0,0,1,0,5,3,0,8,1
2015-11-09,2.15,2.18,2.1,2.11,-0.04,-1.8605,6231734,0,1,0,1,0,0,5,1,0,6,0
2015-11-10,2.09,2.1,2.02,2.02,-0.09,-4.2654,6162153,0,1,0,0,0,1,3,1,0,4,0
2015-11-11,2.02,2.09,2.02,2.07,0.05,2.4752,3532050,1,0,0,0,1,0,2,1,4,7,7
2015-11-12,2.05,2.07,2.0,2.0,-0.07,-3.3816,3576805,0,1,0,0,1,0,2,1,1,4,2
2015-11-13,1.99,2.04,1.94,1.99,-0.01,-0.5,5920191,0,1,1,0,0,0,2,1,1,4,2
