metric,metric_score,direction,ntile,pct_correct,delta_pct,probability
score,1,down,3,1.0,1.0,1.0
score,0,down,3,1.0,1.0,1.0
score,2,down,3,1.0,0.8,0.8
weighted_score,10,up,3,0.958,0.625,0.599
overlays,0,down,3,1.0,0.577,0.577
overlays,9,up,3,0.962,0.577,0.555
weighted_score,0,down,3,1.0,0.5,0.5
score,15,up,3,1.0,0.5,0.5
score,15,up,2,1.0,0.5,0.5
score,14,up,3,0.923,0.538,0.497
weighted_score,5,down,1,0.737,0.632,0.465
overlays,8,up,3,0.846,0.538,0.456
score,3,down,1,0.846,0.538,0.456
score,4,down,2,0.8,0.533,0.427
score,5,down,3,0.84,0.48,0.403
other,0,down,3,0.577,0.692,0.399
score,13,up,3,0.762,0.476,0.363
overlays,5,up,1,0.577,0.615,0.355
other,3,up,3,0.68,0.52,0.354
weighted_score,9,up,3,0.833,0.417,0.347
weighted_score,1,down,1,0.84,0.4,0.336
weighted_score,1,down,3,0.84,0.4,0.336
score,11,up,3,0.875,0.375,0.328
overlays,1,down,1,0.839,0.387,0.325
weighted_score,4,up,2,0.688,0.469,0.322
overlays,6,up,1,0.742,0.419,0.311
overlays,6,up,2,0.742,0.419,0.311
weighted_score,6,up,1,0.737,0.421,0.31
momentum,4,up,3,0.611,0.5,0.306
weighted_score,8,up,1,0.714,0.429,0.306
overlays,1,down,3,0.839,0.355,0.298
overlays,3,down,2,0.619,0.476,0.295
other,0,up,3,0.423,0.692,0.293
weighted_score,0,down,2,1.0,0.292,0.292
score,12,up,3,0.789,0.368,0.291
score,12,up,1,0.789,0.368,0.291
weighted_score,7,up,1,0.8,0.36,0.288
score,14,up,2,0.923,0.308,0.284
score,10,up,1,0.586,0.483,0.283
weighted_score,9,up,2,0.833,0.333,0.278
score,8,up,2,0.658,0.421,0.277
weighted_score,3,down,3,0.579,0.474,0.274
score,11,up,2,0.875,0.312,0.273
score,11,up,1,0.875,0.312,0.273
weighted_score,8,up,2,0.714,0.381,0.272
weighted_score,2,down,1,0.679,0.393,0.267
weighted_score,2,down,2,0.679,0.393,0.267
overlays,4,up,1,0.577,0.462,0.266
overlays,3,down,1,0.619,0.429,0.265
overlays,8,up,2,0.846,0.308,0.26
overlays,5,down,1,0.423,0.615,0.26
score,8,up,1,0.658,0.395,0.26
score,3,down,2,0.846,0.308,0.26
weighted_score,4,up,1,0.688,0.375,0.258
weighted_score,7,up,3,0.8,0.32,0.256
weighted_score,7,up,2,0.8,0.32,0.256
score,9,up,1,0.55,0.45,0.248
score,6,down,3,0.588,0.412,0.242
weighted_score,10,up,2,0.958,0.25,0.24
overlays,7,up,2,0.619,0.381,0.236
overlays,7,up,1,0.619,0.381,0.236
score,5,down,1,0.84,0.28,0.235
weighted_score,6,up,2,0.737,0.316,0.233
overlays,0,down,2,1.0,0.231,0.231
overlays,2,up,2,0.538,0.423,0.228
other,1,up,1,0.534,0.425,0.227
score,7,up,1,0.545,0.409,0.223
score,7,up,2,0.545,0.409,0.223
overlays,9,up,2,0.962,0.231,0.222
score,13,up,2,0.762,0.286,0.218
overlays,1,down,2,0.839,0.258,0.216
score,4,down,1,0.8,0.267,0.213
momentum,2,up,3,0.52,0.4,0.208
score,12,up,2,0.789,0.263,0.208
weighted_score,9,up,1,0.833,0.25,0.208
score,6,down,2,0.588,0.353,0.208
weighted_score,0,down,1,1.0,0.208,0.208
overlays,2,up,3,0.538,0.385,0.207
momentum,4,up,1,0.611,0.333,0.204
score,9,down,1,0.45,0.45,0.203
score,5,down,2,0.84,0.24,0.202
score,10,down,1,0.414,0.483,0.2
score,2,down,1,1.0,0.2,0.2
overlays,4,up,2,0.577,0.346,0.2
weighted_score,3,up,3,0.421,0.474,0.199
other,2,up,1,0.537,0.368,0.197
overlays,2,down,2,0.462,0.423,0.195
weighted_score,6,up,3,0.737,0.263,0.194
momentum,4,down,3,0.389,0.5,0.194
other,2,up,2,0.537,0.36,0.193
momentum,2,down,3,0.48,0.4,0.192
momentum,0,up,1,0.576,0.333,0.192
momentum,0,up,2,0.576,0.333,0.192
momentum,0,up,3,0.576,0.333,0.192
overlays,0,down,1,1.0,0.192,0.192
other,1,down,1,0.452,0.425,0.192
other,3,up,2,0.68,0.28,0.19
momentum,3,up,2,0.536,0.348,0.187
momentum,3,up,1,0.536,0.348,0.187
score,7,down,2,0.455,0.409,0.186
score,7,down,1,0.455,0.409,0.186
overlays,9,up,1,0.962,0.192,0.185
weighted_score,3,down,2,0.579,0.316,0.183
score,10,up,2,0.586,0.31,0.182
score,13,up,1,0.762,0.238,0.181
overlays,3,up,2,0.381,0.476,0.181
overlays,2,down,3,0.462,0.385,0.178
overlays,4,down,1,0.385,0.462,0.178
momentum,1,down,1,0.5,0.348,0.174
momentum,1,up,1,0.5,0.348,0.174
other,2,down,1,0.463,0.368,0.17
score,6,up,3,0.412,0.412,0.17
other,1,up,2,0.534,0.315,0.168
weighted_score,1,down,2,0.84,0.2,0.168
other,2,down,2,0.463,0.36,0.167
momentum,2,up,1,0.52,0.32,0.166
weighted_score,5,up,1,0.263,0.632,0.166
other,3,down,3,0.32,0.52,0.166
score,9,up,3,0.55,0.3,0.165
momentum,1,down,2,0.5,0.326,0.163
momentum,1,up,3,0.5,0.326,0.163
momentum,1,up,2,0.5,0.326,0.163
momentum,3,up,3,0.536,0.304,0.163
momentum,1,down,3,0.5,0.326,0.163
overlays,3,up,1,0.381,0.429,0.163
score,4,down,3,0.8,0.2,0.16
momentum,3,down,1,0.457,0.348,0.159
momentum,3,down,2,0.457,0.348,0.159
weighted_score,5,down,2,0.737,0.211,0.155
momentum,2,down,1,0.48,0.32,0.154
overlays,7,up,3,0.619,0.238,0.147
momentum,2,up,2,0.52,0.28,0.146
other,2,up,3,0.537,0.272,0.146
overlays,7,down,1,0.381,0.381,0.145
weighted_score,2,down,3,0.679,0.214,0.145
score,6,up,2,0.412,0.353,0.145
overlays,7,down,2,0.381,0.381,0.145
other,1,down,2,0.452,0.315,0.142
score,14,up,1,0.923,0.154,0.142
momentum,0,down,1,0.424,0.333,0.141
momentum,0,down,3,0.424,0.333,0.141
