metric,metric_score,direction,pct_correct,calc_move
score,17,up,1.0,5.24
score,0,down,1.0,5.24
score,16,up,1.0,3.87
overlays,8,up,0.992,3.46
weighted_score,10,up,0.991,3.57
weighted_score,0,down,0.948,3.16
overlays,0,down,0.944,3.27
score,14,up,0.925,2.71
weighted_score,9,up,0.915,2.94
score,2,down,0.889,3.67
score,15,up,0.846,2.51
overlays,7,up,0.844,2.16
weighted_score,8,up,0.819,1.56
score,1,down,0.818,2.66
score,5,down,0.78,2.23
score,3,down,0.767,2.13
score,4,down,0.732,2.06
weighted_score,1,down,0.714,1.8
overlays,1,down,0.714,1.67
score,13,up,0.711,1.74
momentum,0,up,0.681,1.74
other,4,up,0.675,2.0
weighted_score,7,up,0.616,1.23
score,6,down,0.609,1.74
other,0,up,0.6,1.98
overlays,3,down,0.592,1.36
overlays,4,up,0.587,1.13
overlays,6,up,0.582,1.26
overlays,5,up,0.576,1.15
momentum,2,up,0.575,1.7
weighted_score,4,down,0.57,1.16
score,10,up,0.568,1.21
score,8,up,0.564,1.18
weighted_score,3,down,0.562,1.24
score,11,up,0.553,1.29
weighted_score,2,down,0.551,1.14
momentum,6,down,0.55,1.25
overlays,2,down,0.543,1.15
momentum,1,up,0.537,1.26
weighted_score,5,down,0.524,1.08
momentum,3,up,0.52,2.02
momentum,5,down,0.52,1.15
score,12,up,0.519,1.21
score,9,down,0.515,1.06
other,1,up,0.506,1.15
weighted_score,6,up,0.505,0.99
momentum,4,down,0.5,1.15
score,7,up,0.491,1.16
other,3,down,0.489,1.3
other,2,up,0.489,1.08
other,2,down,0.485,1.08
momentum,3,down,0.48,1.86
score,9,up,0.478,0.98
weighted_score,6,down,0.476,0.93
momentum,4,up,0.474,1.09
other,1,down,0.472,1.07
other,3,up,0.468,1.24
weighted_score,5,up,0.468,0.97
score,7,down,0.463,1.09
momentum,1,down,0.457,1.08
momentum,6,up,0.45,1.02
momentum,5,up,0.448,0.99
score,12,down,0.426,0.99
score,11,down,0.426,0.99
score,10,down,0.426,0.91
weighted_score,2,up,0.42,0.86
overlays,2,up,0.417,0.88
overlays,5,down,0.408,0.82
overlays,6,down,0.401,0.87
score,8,down,0.401,0.83
other,0,down,0.4,1.32
momentum,2,down,0.399,1.18
weighted_score,4,up,0.397,0.81
weighted_score,3,up,0.393,0.87
overlays,3,up,0.385,0.88
score,6,up,0.365,1.04
overlays,4,down,0.364,0.7
weighted_score,7,down,0.344,0.69
other,4,down,0.291,0.86
momentum,0,down,0.283,0.73
weighted_score,1,up,0.261,0.66
overlays,1,up,0.254,0.59
score,13,down,0.253,0.62
score,4,up,0.244,0.68
score,5,up,0.22,0.63
score,3,up,0.2,0.56
score,1,up,0.182,0.6
score,15,down,0.115,0.34
score,2,up,0.111,0.46
weighted_score,8,down,0.111,0.21
overlays,7,down,0.104,0.27
weighted_score,9,down,0.085,0.27
score,14,down,0.075,0.22
overlays,0,up,0.048,0.16
weighted_score,0,up,0.043,0.14
overlays,8,down,0.008,0.03
score,17,down,0.0,0.0
score,16,down,0.0,0.0
score,0,up,0.0,0.0
weighted_score,10,down,0.0,0.0
