date,minute,open,high,low,close,volume,change,changePercent,sma_10,sma_20,sma_50,sma_100,ema_10,ema_20,ema_50,ema_100,vma_10,vma_20,vma_50,vma_100,rsi,wr,ao,aroon_up,aroon_down,bb_sell,bb_buy,cci,cmf,kc_sell,kc_buy,kst,macd,mfi,stoch_d,stoch_k,trix,tsi,uo
09-09-20,10:36:00,78.335,78.335,78.335,78.335,28550,0.0,0.0,78.37,78.31,78.27,78.34,78.35,78.33,78.32,78.34,22926.5,22345.3,23635.06,26773.38,51.61,-37.7,0.08,76.0,40.0,0.0,0.0,25.29,0.081,0.0,0.0,1.14,0.027,63.42,70.23,62.3,0.004,1.67,54.98
09-09-20,10:36:15,78.335,78.335,78.335,78.335,21143,0.0,0.0,78.38,78.31,78.27,78.34,78.35,78.33,78.32,78.34,23133.5,22427.45,23547.64,26798.23,51.61,-37.7,0.06,72.0,36.0,0.0,0.0,25.57,0.124,0.0,0.0,1.22,0.024,68.14,62.5,62.3,0.004,1.73,35.71
09-09-20,10:36:30,78.335,78.335,78.12,78.12,18280,-0.2149999999999892,-0.27399999999999997,78.36,78.3,78.27,78.33,78.31,78.31,78.31,78.33,22954.0,22548.75,23725.94,26788.93,33.79,-100.0,0.02,68.0,100.0,0.0,0.0,-90.06,0.118,0.0,0.0,1.07,0.004,67.06,41.53,0.0,0.003,-0.08,25.04
09-09-20,10:36:45,78.12,78.15,78.12,78.13,11765,0.009999999999990905,0.013000000000000001,78.33,78.29,78.26,78.33,78.28,78.29,78.3,78.33,22607.6,22636.05,23591.14,26366.36,34.92,-96.97,-0.03,64.0,96.0,0.0,0.0,-117.7,0.109,0.0,0.0,0.88,-0.011,64.71,21.78,3.03,0.003,-1.57,25.22
09-09-20,10:37:00,78.13,78.18,78.13,78.17,34201,0.049999999999997165,0.064,78.31,78.28,78.26,78.33,78.26,78.28,78.3,78.33,20732.4,22440.8,23551.54,26320.73,39.36,-84.85,-0.07,60.0,92.0,0.0,0.0,-86.05,0.156,0.0,0.0,0.65,-0.019,64.91,6.06,15.15,0.002,-2.54,25.42
09-09-20,10:37:15,78.17,78.17,78.07,78.07,48944,-0.060000000000002274,-0.077,78.27,78.28,78.26,78.33,78.22,78.26,78.29,78.32,24847.1,23507.0,24134.12,26346.26,33.25,-100.0,-0.11,56.0,100.0,0.0,0.0,-115.97,0.103,0.0,0.0,0.32,-0.033,53.37,6.06,0.0,0.0,-4.18,22.01
09-09-20,10:37:30,78.07,78.07,78.03,78.05,44279,-0.019999999999996017,-0.026000000000000002,78.24,78.27,78.26,78.33,78.19,78.24,78.28,78.32,27384.6,25037.3,24771.5,26165.13,32.17,-95.24,-0.16,52.0,100.0,0.0,0.0,-138.88,0.07,0.0,0.0,-0.08,-0.046,45.98,6.64,4.76,-0.001,-5.76,25.66
09-09-20,10:37:45,78.05,78.065,78.03,78.03,25094,0.0,0.0,78.2,78.26,78.25,78.32,78.16,78.22,78.27,78.31,28541.0,25408.95,24891.56,25281.15,31.09,-100.0,-0.18,48.0,100.0,0.0,0.0,-131.48,0.012,0.0,0.0,-0.51,-0.057,39.98,1.59,0.0,-0.003,-7.3,22.14
09-09-20,10:38:00,78.03,78.09,78.03,78.09,39871,0.060000000000002274,0.077,78.17,78.26,78.25,78.32,78.15,78.21,78.26,78.31,30406.7,26678.3,23679.16,25086.1,37.85,-85.71,-0.19,44.0,96.0,0.0,0.0,-107.29,0.114,0.0,0.0,-0.88,-0.059,37.45,6.35,14.29,-0.004,-8.13,26.27
09-09-20,10:38:15,78.09,78.15,78.09,78.15,32504,0.12000000000000455,0.154,78.15,78.26,78.25,78.32,78.15,78.2,78.26,78.3,30463.1,26911.5,24084.36,24708.87,43.79,-68.83,-0.19,40.0,92.0,0.0,0.0,-72.11,0.121,0.0,0.0,-1.18,-0.056,44.28,15.15,31.17,-0.005,-8.34,44.01
09-09-20,10:38:30,78.15,78.15,78.15,78.15,9974,0.060000000000002274,0.077,78.13,78.25,78.25,78.32,78.15,78.2,78.25,78.3,28605.5,25766.0,24015.62,24305.1,43.79,-68.83,-0.17,36.0,88.0,0.0,0.0,-55.07,0.07,0.0,0.0,-1.53,-0.053,41.0,25.54,31.17,-0.006,-8.53,44.86
