date,open,high,low,close,change,changePercent,volume,sma_10,sma_20,sma_50,sma_100,sma_200,ema_10,ema_20,ema_50,ema_100,ema_200,vma_10,vma_20,vma_50,vma_100,vma_200,rsi,wr,ao,aroon_up,aroon_down,bb_sell,bb_buy,cci,cmf,kc_sell,kc_buy,kst,macd,mfi,stoch_d,stoch_k,trix,tsi,uo
2016-07-26,6.76,7.16,6.71,6.98,0.28,4.1791,81230638,5.65,5.36,4.82,3.91,3.06,5.85,5.48,4.86,4.16,3.43,47210285.9,35018176.4,30008453.8,23962367.06,17744484.25,79.0,-7.69,0.86,100.0,20.0,1.0,0.0,310.38,0.199,0.0,0.0,180.61,0.414,78.75,89.76,92.31,0.753,26.62,66.07
2016-07-27,6.93,6.98,6.68,6.85,-0.13,-1.8625,38567259,5.82,5.45,4.88,3.95,3.08,6.03,5.61,4.94,4.22,3.46,49663760.0,35485471.0,30485722.24,24193549.78,17894175.24,75.58,-13.25,1.07,96.0,16.0,1.0,0.0,215.22,0.183,0.0,0.0,206.33,0.471,74.4,89.11,86.75,0.856,27.99,63.87
2016-07-28,6.79,6.98,6.74,6.82,-0.03,-0.438,27515622,5.99,5.53,4.94,3.99,3.11,6.17,5.73,5.01,4.27,3.5,50410308.1,35205337.95,30634711.9,24380687.68,17993314.84,74.78,-15.74,1.31,92.0,12.0,0.0,0.0,166.27,0.209,0.0,0.0,230.08,0.508,69.19,87.77,84.26,0.959,29.11,62.39
2016-07-29,6.88,6.96,6.75,6.86,0.04,0.5865,22580538,6.16,5.62,5.0,4.04,3.13,6.3,5.84,5.08,4.32,3.53,51246435.6,35028122.5,30696184.22,24506223.76,18072725.3,75.16,-13.95,1.47,88.0,8.0,0.0,0.0,135.82,0.19,0.0,0.0,254.15,0.535,72.73,85.69,86.05,1.056,30.13,63.68
2016-08-01,6.89,6.92,6.57,6.64,-0.22,-3.207,26729026,6.27,5.7,5.06,4.08,3.15,6.36,5.91,5.14,4.37,3.56,50057397.8,35451779.9,30876827.54,24642689.58,18155448.82,69.01,-24.53,1.46,84.0,4.0,0.0,0.0,102.24,0.165,0.0,0.0,270.07,0.532,68.18,81.93,75.47,1.133,30.51,61.39
2016-08-02,6.56,6.6,6.15,6.26,-0.38,-5.7229,40816397,6.36,5.76,5.11,4.12,3.18,6.34,5.95,5.19,4.4,3.59,51795076.8,36675976.45,31417162.54,24954598.41,18222895.27,59.9,-42.86,1.29,80.0,20.0,0.0,0.0,57.42,0.132,0.0,0.0,281.15,0.493,64.73,72.89,57.14,1.174,29.97,54.54
2016-08-03,6.18,6.45,6.15,6.3,0.04,0.639,23807809,6.45,5.82,5.15,4.16,3.2,6.33,5.98,5.23,4.44,3.62,52165620.4,36896722.55,31183978.42,24978852.67,18234210.0,60.49,-41.75,1.13,76.0,16.0,0.0,0.0,47.33,0.123,0.0,0.0,294.52,0.46,65.16,63.62,58.25,1.19,29.54,47.48
2016-08-04,6.39,6.61,6.37,6.47,0.17,2.6984,22411032,6.57,5.9,5.2,4.2,3.22,6.36,6.03,5.28,4.48,3.64,50382521.3,37226585.75,30946520.9,24864482.82,18292911.36,62.99,-33.5,1.0,72.0,12.0,0.0,0.0,57.96,0.117,0.0,0.0,311.92,0.443,67.74,60.63,66.5,1.192,29.37,46.49
2016-08-05,6.56,6.76,6.47,6.61,0.14,2.1638,20163999,6.65,5.97,5.24,4.24,3.24,6.4,6.08,5.33,4.52,3.67,42215093.4,36827748.25,30855402.56,24850387.3,18365810.41,64.95,-26.7,0.9,68.0,8.0,0.0,0.0,63.49,0.09,0.0,0.0,321.54,0.435,67.09,66.02,73.3,1.188,29.4,45.22
2016-08-08,6.7,6.85,6.65,6.68,0.07,1.0590000000000002,21462238,6.65,6.05,5.29,4.28,3.27,6.45,6.14,5.39,4.57,3.7,32528455.8,36849462.75,30832133.3,24934853.11,18398289.23,65.93,-23.3,0.86,64.0,4.0,0.0,0.0,68.0,0.095,0.0,0.0,315.95,0.43,70.64,72.17,76.7,1.178,29.5,44.54
2016-08-09,6.75,6.78,6.54,6.6,-0.08,-1.1976,16772428,6.61,6.13,5.33,4.32,3.29,6.48,6.18,5.43,4.61,3.73,26082634.8,36646460.35,30478989.46,24812569.01,18441109.28,63.74,-27.18,0.88,60.0,16.0,0.0,0.0,54.29,0.067,0.0,0.0,307.25,0.415,68.6,74.27,72.82,1.161,29.42,42.94
2016-08-10,6.35,6.58,6.25,6.49,-0.11,-1.6667,29070733,6.57,6.2,5.37,4.35,3.31,6.48,6.21,5.47,4.64,3.76,25132982.2,37398371.1,30552820.28,24839971.31,18538641.92,60.77,-39.18,0.87,56.0,12.0,0.0,0.0,28.64,0.089,0.0,0.0,300.0,0.389,69.04,70.11,60.82,1.133,29.1,47.9
2016-08-11,6.5,6.59,6.46,6.58,0.09,1.3867,13240292,6.55,6.27,5.41,4.39,3.33,6.5,6.25,5.52,4.68,3.79,23705449.2,37057878.65,30223698.92,24837724.81,18573275.89,62.32,-46.77,0.83,52.0,8.0,0.0,0.0,36.5,0.099,0.0,0.0,295.79,0.372,64.41,62.29,53.23,1.099,28.93,52.1
2016-08-12,6.6,6.79,6.55,6.73,0.15,2.2796,25466386,6.54,6.35,5.46,4.43,3.35,6.54,6.29,5.57,4.72,3.82,23994034.0,37620234.8,30026325.74,24989230.67,18671829.84,64.81,-42.57,0.79,48.0,4.0,0.0,0.0,52.55,0.118,0.0,0.0,288.1,0.366,56.59,57.16,57.43,1.066,28.95,52.6
2016-08-15,6.79,6.97,6.78,6.95,0.22,3.2689,28339380,6.57,6.42,5.52,4.47,3.38,6.62,6.36,5.62,4.77,3.85,24155069.4,37106233.6,30241877.36,25170953.18,18778773.71,68.15,-3.61,0.76,44.0,8.0,0.0,0.0,81.72,0.112,0.0,0.0,274.51,0.375,49.83,69.01,96.39,1.041,29.25,55.93
2016-08-16,6.94,6.94,6.65,6.78,-0.17,-2.446,26768769,6.62,6.49,5.56,4.51,3.4,6.65,6.4,5.67,4.81,3.88,22750306.6,37272691.7,30350660.06,25338239.26,18890115.46,63.17,-24.1,0.73,40.0,4.0,0.0,0.0,61.06,0.119,0.0,0.0,262.72,0.364,51.61,76.57,75.9,1.013,29.13,55.07
2016-08-17,6.7,6.75,6.61,6.68,-0.1,-1.4749,13791311,6.66,6.55,5.61,4.55,3.42,6.65,6.42,5.71,4.84,3.91,21748656.8,36957138.6,30212962.72,25399315.06,18934586.43,60.37,-35.37,0.75,36.0,8.0,0.0,0.0,33.45,0.141,0.0,0.0,249.7,0.343,53.88,78.97,64.63,0.98,28.81,56.44
2016-08-18,6.74,7.07,6.73,7.04,0.36,5.3892,30783305,6.71,6.64,5.66,4.6,3.45,6.72,6.48,5.76,4.89,3.94,22585884.1,36484202.7,30507142.26,25570986.25,19059209.23,66.17,-3.26,0.77,100.0,4.0,0.0,0.0,104.37,0.195,0.0,0.0,241.85,0.352,55.09,79.09,96.74,0.954,28.96,64.54
2016-08-19,7.24,8.0,7.22,7.62,0.58,8.2386,75129305,6.82,6.73,5.72,4.64,3.48,6.89,6.59,5.83,4.94,3.97,28082414.7,35148754.05,31685346.88,26172820.05,19391326.59,73.03,-20.54,0.88,100.0,16.0,1.0,0.0,301.15,0.133,0.0,0.0,240.15,0.401,68.55,80.28,79.46,0.952,29.78,63.3
2016-08-22,7.83,7.95,7.37,7.58,-0.04,-0.5249,41519225,6.91,6.78,5.79,4.69,3.5,7.01,6.68,5.9,4.99,4.01,30088113.4,31308284.6,32213601.06,26497297.35,19557896.13,71.94,-22.7,0.96,96.0,12.0,1.0,0.0,239.73,0.034,0.0,0.0,240.73,0.432,67.07,84.5,77.3,0.961,30.42,59.16
2016-08-23,7.66,7.74,7.53,7.67,0.09,1.1873,27531065,7.01,6.81,5.85,4.74,3.53,7.13,6.78,5.97,5.05,4.05,31163977.1,28623305.95,32493404.22,26690031.24,19674040.56,72.92,-18.86,1.05,100.0,8.0,1.0,0.0,199.76,0.025,0.0,0.0,244.51,0.458,67.79,79.3,81.14,0.978,31.08,58.99
2016-08-24,7.67,7.67,7.37,7.43,-0.24,-3.1291,22943869,7.11,6.84,5.91,4.78,3.56,7.19,6.84,6.03,5.09,4.08,30551290.7,27842136.45,32617133.34,26863559.38,19743774.38,66.31,-32.57,1.14,96.0,4.0,0.0,0.0,135.42,-0.009,0.0,0.0,248.47,0.454,61.93,75.29,67.43,0.988,31.15,54.37
2016-08-25,7.49,7.49,7.2,7.47,0.035,0.4711,16451281,7.2,6.87,5.97,4.83,3.58,7.24,6.9,6.08,5.14,4.11,30872389.6,27288919.4,32714653.96,26931670.36,19794872.11,66.85,-30.29,1.16,92.0,4.0,0.0,0.0,97.68,0.034,0.0,0.0,246.89,0.449,61.77,72.76,69.71,0.993,31.25,58.0
2016-08-26,7.49,7.8,7.46,7.67,0.205,2.7461,31387878,7.29,6.91,6.03,4.88,3.61,7.32,6.97,6.14,5.19,4.15,31464538.8,27729286.4,32658758.52,27120202.7,19921000.74,69.48,-18.86,1.09,88.0,28.0,0.0,0.0,122.56,0.045,0.0,0.0,248.86,0.456,63.04,72.76,81.14,0.999,31.57,59.35
2016-08-29,7.72,7.79,7.57,7.59,-0.08,-1.043,16916273,7.35,6.96,6.08,4.93,3.64,7.37,7.03,6.2,5.24,4.18,30322228.1,27238648.75,31699202.18,27154573.36,19987921.86,67.19,-23.43,1.02,84.0,24.0,0.0,0.0,105.87,0.05,0.0,0.0,247.97,0.45,62.65,75.81,76.57,0.999,31.69,54.39
2016-08-30,7.61,7.64,7.41,7.49,-0.1,-1.3175,16088129,7.42,7.02,6.13,4.98,3.67,7.39,7.08,6.25,5.28,4.22,29254164.1,26002235.35,31150138.66,27230564.19,20050478.48,64.33,-33.12,0.93,80.0,20.0,0.0,0.0,74.52,0.083,0.0,0.0,249.39,0.432,64.12,74.87,66.88,0.991,31.57,50.59
2016-08-31,7.52,7.52,7.28,7.4,-0.09,-1.2016,18808801,7.5,7.08,6.17,5.02,3.69,7.39,7.11,6.3,5.33,4.25,29755913.1,25752284.95,30809022.86,27328201.64,20114921.52,61.78,-41.38,0.84,76.0,16.0,0.0,0.0,50.54,0.083,0.0,0.0,254.03,0.406,59.94,67.36,58.62,0.972,31.27,51.93
